ï»¿facility_name,facility_code,facility_type,facility_ownership,latitude,longitude,admin2,admin1,Telephone,status
24 HOUR EM CLINIC,803293-0,Individual practitioner,PRIVATE,-24.55882,25.97973,South East,Greater Gaborone,3114171,OPERATIONAL
24 HR EMERGENCY MEDICAL CARE,304543-2,Poly Clinic,PRIVATE,-17.806833,25.240925,Chobe,Chobe,+267 6251548,OPERATIONAL
4 EYES OPTOMETRIST,946994-1,Individual practitioner,PRIVATE,-24.394279,26.145249,Kgatleng,Kgatleng,+267 3914556 / 77791340,OPERATIONAL
4Eye Optometrist,470400-3,Individual practitioner,PRIVATE,-24.6414206,25.9113084,Greater Gaborone,--,+267 3914556,OPERATIONAL
AA Physiotherapy And Rehabilitation,266813-5,Individual practitioner,PRIVATE,-21.975588,27.83734,Phikwe,Greater Phikwe,71723951,OPERATIONAL
ADVENTIST HEALTH SERVICES CLINIC,551055-7,Poly Clinic,PRIVATE,-24.6502575,25.9117436,Greater Gaborone,--,+267 3951515,OPERATIONAL
AGAPE DENTAL CLINIC,599109-6,Individual practitioner,PRIVATE,-24.6530684,25.9187146,Greater Gaborone,Greater Gaborone,+267 3913408,OPERATIONAL
AIMS SURGICAL CLINIC,460024-3,Individual practitioner,PRIVATE,-24.629347,25.933559,Greater Gaborone,Greater Gaborone,3923089/3685611,OPERATIONAL
ALEMAYEHU G.B SURGICAL CENTRE,701071-3,Individual practitioner,PRIVATE,-24.6588581,25.9004018,South East,--,+267 3115757,OPERATIONAL
ALL RIGHT PHARMACY,474791-1,Individual practitioner,PRIVATE,-21.975944,27.840084,Phikwe,Greater Phikwe,2622882,OPERATIONAL
ANEJ FAMILY MEDICAL CLINIC (AFMC),871521-1,Individual practitioner,PRIVATE,-19.9698005,23.4513496,Ngami,--,+267 6800083,OPERATIONAL
ANGEL PRIVATE CLINIC,958207-3,Individual practitioner,PRIVATE,-20.61979,27.44463,North East,North East,+267 2481164,OPERATIONAL
AO BROADHURST CLINIC,424792-0,Individual practitioner,PRIVATE,-24.626778,25.936659,Greater Gaborone,Greater Gaborone,3960160,OPERATIONAL
AO Clinic KB Mall,357890-3,Poly Clinic,PRIVATE,-24.65844,25.90057,Greater Gaborone,Greater Gaborone,3158101,OPERATIONAL
AO Clinic Mochudi,324142-9,Individual practitioner,PRIVATE,-24.399249,26.148131,Kgatleng,Kgatleng,+267 5710028,OPERATIONAL
AO Molepolole Clinic,886922-4,Private Hospital,PRIVATE,-24.390198,25.485768,Kweneng East,Kweneng,5921222,OPERATIONAL
AQUA-SPRAY MEDICAL CENTRE,442567-4,Individual practitioner,PRIVATE,-21.200449,27.522058,Greater Francistown,Greater Francistown,+267 2408380,OPERATIONAL
AUTHENTIC SMILE,707382-8,Individual practitioner,PRIVATE,-24.6284288,25.9129344,Greater Gaborone,--,+267 3119078,OPERATIONAL
Acacia Clinic,981012-8,Group practice,PRIVATE,-24.673306,25.543427,Kweneng East,Kweneng,5999720,OPERATIONAL
Active Town Physiotherapy Clinic,257458-0,Individual practitioner,PRIVATE,-24.600867,24.600867,Jwaneng,Southern,267 5887090,OPERATIONAL
Adonai Medical Clinic,135676-5,Individual practitioner,PRIVATE,-20.563086,26.222818,Tutume,Tutume,6213046,OPERATIONAL
Afiya Health and Dietetic Consultants,249496-1,Individual practitioner,PRIVATE,-24.62920523,25.93392696,Greater Gaborone,Greater Gaborone,3685627,OPERATIONAL
Aiden Dental Care,198785-8,Individual practitioner,PRIVATE,-22.4249246,26.75393928,Serowe,Serowe/Palapye,4600901,OPERATIONAL
Airstrip Clinic,972228-1,Clinic,GOVERNMENT,-23.115351,26.824311,Mahalapye,Mahalapye,+267 4710009/74166629,OPERATIONAL
Akbar Pharmacy,263337-8,Individual practitioner,PRIVATE,-24.6592,25.91435,South East,Greater Gaborone,3910087,OPERATIONAL
Area L Health Post,713823-3,Health Post,GOVERNMENT,-21.160365,27.517292,Greater Francistown,Greater Francistown,+267 2470046,OPERATIONAL
Area S Health Post,611993-7,Health Post,GOVERNMENT,-21.156493,27.497482,Greater Francistown,Greater Francistown,+267 2470047,OPERATIONAL
Artesia Clinic,153397-5,Clinic with Maternity,GOVERNMENT,-24.013836,26.320154,Kgatleng,Kgatleng,+267 5729710,OPERATIONAL
Avenue Medical Centre,738301-1,Group practice,PRIVATE,-24.6542232,25.9204589,Greater Gaborone,--,+267 3911153,OPERATIONAL
Avivenna Maternal & Child Health & Wellness Clinic,641062-5,Group practice,PRIVATE,-24.6427038,25.9211657,Greater Gaborone,--,+267 3188808,OPERATIONAL
B.B.T. PHYSIOTHERAPY,146260-5,Individual practitioner,PRIVATE,-24.653868,25.920614,Greater Gaborone,--,+267 3907771,OPERATIONAL
BABA MEDICAL CENTER,716694-5,Individual practitioner,PRIVATE,-24.67622,25.93567,Greater Gaborone,Greater Gaborone,3960484,OPERATIONAL
BAC Clinic,419322-3,Clinic,GOVERNMENT,-24.68,25.92,Greater Gaborone,Greater Gaborone,+267 3953062,OPERATIONAL
BATHO DENTAL CLINIC,760429-1,Individual practitioner,PRIVATE,-22.5413424,27.0884179,Greater Gaborone,--,+267 72841833,OPERATIONAL
BETHESDA MEDICAL CENTRE,42380-6,Individual practitioner,PRIVATE,-22.551487,27.11471,Palapye,Serowe/Palapye,492 2552,OPERATIONAL
BETHESDA MEDICAL CENTRE,745542-1,Individual practitioner,PRIVATE,-21.1746816,27.5185664,Greater Gaborone,--,+267 4922552,OPERATIONAL
BIDII MEDICAL SERVICES,540264-1,Individual practitioner,PRIVATE,-21.184512,27.5316736,Greater Gaborone,--,+267 71866769,OPERATIONAL
BLM DENTAL CLINIC,602523-3,Individual practitioner,PRIVATE,-24.394279,26.145249,Kgatleng,Kgatleng,+267 5710762,OPERATIONAL
BMC Clinic,280610-7,Clinic,undefined,,,Ngami,Ngami,+267 6862782,OPERATIONAL
BMC Clinic (factory),602729-6,Clinic,GOVERNMENT,-25.21667,25.66667,Lobatse,Greater Lobatse,+267 5330321,OPERATIONAL
BOCHAIP,168242-6,Group practice,PRIVATE,-24.8597791,25.8497607,South East,Greater Gaborone,+267 5392078,OPERATIONAL
BOFWA,411725-5,Group practice,PRIVATE,-24.980392,25.305358,Kanye,Southern,5403086,OPERATIONAL
BOFWA Clinic,969077-7,Clinic,undefined,,,Ngami,Ngami,+267 6864718,OPERATIONAL
BOIPUSO SURGERY,45728-3,Individual practitioner,PRIVATE,-21.162705,27.510021,Greater Francistown,--,2672419044,OPERATIONAL
BONGAKA HEALTH,353408-8,Individual practitioner,PRIVATE,-24.6595939,25.9288518,Greater Gaborone,Greater Gaborone,+267 3919900,OPERATIONAL
BOPMOE HOLDINGS,816049-1,Individual practitioner,PRIVATE,-24.6404355,25.929759,Greater Gaborone,--,+267 3113669,OPERATIONAL
BOTSOGO MEDICAL CENTRE,691236-4,Private Hospital,PRIVATE,-24.6546432,25.919488,Kgatleng,--,+267 5729413,OPERATIONAL
BOsele Pharmacy,958636-3,Individual practitioner,PRIVATE,-22.38731382,26.70165634,Serowe,Serowe/Palapye,4600963,OPERATIONAL
BPM ORAL & DENTAL CARE CLINIC,732076-5,Individual practitioner,PRIVATE,-24.6284288,25.9227648,South East,--,+267 3933184,OPERATIONAL
BUIST Clinic,613006-6,Clinic,PRIVATE,-22.595652,27.123852,Palapye,--,+267 4321212,OPERATIONAL
BUMMHI,80234-8,Group practice,PRIVATE,-24.975248,25.305646,Kanye,Southern,3186101/71358450,OPERATIONAL
Bagaetsho Medical Centre,605931-5,Individual practitioner,PRIVATE,-24.600867,24.729954,Jwaneng,Southern,2675887090,OPERATIONAL
