facility_name,facility_code,facility_type,facility_ownership,latitude,longitude,admin1,status
Kaka Medical Clinic,22998,Dispensaries and clinic-out patient only,Private,,,KAKAMEGA,Operating
KOPANGA DISPENSARY,22985,Basic primary health care facility,Public,,,MIGORI,Operating
Fairview Medical Centre,22977,Secondary care hospitals,Private,-1.288067,36.748322,NAIROBI,Operating
RADIANT GROUP OF HOSPITALS-UMOJA,22976,Secondary care hospitals,Private,,,NAIROBI,Operating
Songot Medical Clinic,22971,Basic primary health care facility,Private,,,TURKANA,Operating
Vital Solutions Health Centre,22967,Basic primary health care facility,Public,,,NAROK,Operating
St.Ann's Catholic Dispensary Kapsorok,22966,Dispensaries and clinic-out patient only,Kenya Episcopal Conference-Cat,,,KERICHO,Operating
Ankara Medical Centre,22963,Dispensaries and clinic-out patient only,Private,,,GARISSA,Operating
George Mudenyo Kadima Nasio Trust (Mumias West),22949,Basic primary health care facility,Private,,,KAKAMEGA,Operating
Nazareth Medical Services-Githurai,22948,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
Penda Medical Care-Kahawa West,22946,Basic primary health care facility,Private,,,NAIROBI,Operating
The Mater Hospital-Satelite Clinic(TRM),22938,Basic primary health care facility,Kenya Episcopal Conference-Cat,,,NAIROBI,Operating
NAMUNYAK MEDICAL CENTRE,22936,Dispensaries and clinic-out patient only,Private,,,KAJIADO,Operating
THE MAZIRA MEMORIAL HOSPITAL,22934,Dispensaries and clinic-out patient only,Private,,,KAJIADO,Operating
PREMIERCARE DIAGNOSTICS NAROK LIMITED,22927,Radiology Clinic,Private,,,NAROK,Operating
Itoleka Smartext Medical Services,22918,Dispensaries and clinic-out patient only,Private,,,KITUI,Operating
Africare Limited Embakasi Clinic,22916,Basic primary health care facility,Private,-1.329814,36.887248,NAIROBI,Operating
AVENUE HEALTHCARE GREENSPAN,22915,Basic primary health care facility,Private,-1.288819,36.901192,NAIROBI,Operating
Yalatani Dispensary,22911,Basic primary health care facility,Public,,,KITUI,Operating
Musuani Mdc,22910,Dispensaries and clinic-out patient only,Private,,,KITUI,Operating
Musuani Medical Centre,22908,Dispensaries and clinic-out patient only,Private,,,KITUI,Operating
Muthangira Dispensary,22905,Basic primary health care facility,Public,,,NYERI,Operating
ST.TRESA'S OLK MEDICAL CLINIC,22904,Dispensaries and clinic-out patient only,Private,,,NYANDARUA,Operating
Kericho Medical Clinic,22900,Dispensaries and clinic-out patient only,Private,,,KERICHO,Operating
Orion Healthcare Medical Centre,22899,Basic primary health care facility,Private,,,BUSIA,Operating
COMMUNITY HEALTH SERVICE,22898,Dispensaries and clinic-out patient only,Private,,,MURANG'A,Operating
Kilele Medical Specialist Centre,22895,Dispensaries and clinic-out patient only,Private,-1.294309,36.873821,NAIROBI,Operating
Sanctuary Rains Medical Centre,22889,Basic primary health care facility,Private,,,NAIROBI,Operating
Highway Medical Clinic Mukuyuni,22882,Dispensaries and clinic-out patient only,Private,,,BUNGOMA,Operating
ScanHealth Limited-Kericho,22862,Radiology Clinic,Private,,,KERICHO,Operating
Aimo Dispensary,22860,Dispensaries and clinic-out patient only,Public,,,HOMA BAY,Operating
Saika Community Medical Centre,22857,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
Selina's Health Care,22855,Basic primary health care facility,Private,,,NAIROBI,Operating
Naagis Dispensary,22853,Basic primary health care facility,Public Institution,,,TURKANA,Operating
Oasis Doctors Plaza Nairobi Green House,22851,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
Karen Roses Medical Clinic,22850,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
South C Hospital Limited(South C),22844,Primary care hospitals,Private,,,NAIROBI,Operating
Our Mother of Perpetual Help Bamba Catholic Dispensary,22836,Dispensaries and clinic-out patient only,Private,,,KILIFI,Operating
Nasianda,22828,Basic primary health care facility,Public,,,TRANS NZOIA,Operating
Gynocare womens &fistula hospital,22815,Secondary care hospitals,Private,,,UASIN GISHU,Operating
Quality care medical clinic,22814,Basic primary health care facility,Private,,,UASIN GISHU,Operating
Katsakakairu Disp,22812,Dispensaries and clinic-out patient only,Public,,,LAMU,Operating
Uziwa Dispensary,22808,Dispensaries and clinic-out patient only,Public,,,LAMU,Operating
Dago,22806,Basic primary health care facility,Public,,,KISUMU,Operating
South C Dialysis Centre,22805,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
Tewe Dispensary,22804,Dispensaries and clinic-out patient only,Public,,,LAMU,Operating
Sinambio Disp,22803,Dispensaries and clinic-out patient only,Public,,,LAMU,Operating
MaishaMaish  Dispensary,22802,Dispensaries and clinic-out patient only,Public,,,LAMU,Operating
Holsoms Nursing Home,22795,Basic primary health care facility,Private,,,NYAMIRA,Operating
Chepsoo Medical Centre,22789,Dispensaries and clinic-out patient only,Private,,,NANDI,Operating
Agahkan Ngong Clinic,22788,Dispensaries and clinic-out patient only,Private,,,KAJIADO,Operating
Gertrude's Children Hospital-Thika Rd,22785,Basic primary health care facility,Private,,,NAIROBI,Operating
Equity Afia Kayole,22784,Dispensaries and clinic-out patient only,Company Medical Service,,,NAIROBI,Operating
Lomunyenekirionok dispensary,22779,Basic primary health care facility,Public,,,TURKANA,Operating
Rushi Medical Clinic,22778,Dispensaries and clinic-out patient only,Private,,,BUSIA,Operating
Blissfam medical centre,22777,Comprehensive primary health care facility,Private,,,KILIFI,Operating
st Angela Medical Centre,22776,Basic primary health care facility,Private,,,KAKAMEGA,Operating
Bethlehem Home Hospital,22775,Basic primary health care facility,Private,,,KISUMU,Operating
HEARTLANDS MEDICAL CENTRE,22773,Dispensaries and clinic-out patient only,Private,,,NAROK,Operating
Bliss M Clinic,22768,Dispensaries and clinic-out patient only,Private,,,KAKAMEGA,Operating
Jimba Dispensary,22766,Dispensaries and clinic-out patient only,Public,,,KILIFI,Operating
Rungut Dispensary,22764,Dispensaries and clinic-out patient only,Public Institution,,,KERICHO,Operating
Hope care medical centre,22762,Dispensaries and clinic-out patient only,Private,,,KAJIADO,Operating
MASAKA DISPENSARY,22759,Dispensaries and clinic-out patient only,Public,,,KAKAMEGA,Operating
EREGI TTC CLINIC,22758,Dispensaries and clinic-out patient only,Public,,,KAKAMEGA,Operating
LUKANJI HEALTH CLINIC,22757,Dispensaries and clinic-out patient only,Public,,,KAKAMEGA,Operating
Bahati Hospital - Malaa,22755,Basic primary health care facility,Private,,,MACHAKOS,Operating
Eastern Afya Medical Centre,22754,Dispensaries and clinic-out patient only,Private,,,MACHAKOS,Operating
Ruai Family Hospital - Tala,22753,Comprehensive primary health care facility,Private,,,MACHAKOS,Operating
Lwakhakha Dispensary,22752,Basic primary health care facility,Public Institution,,,BUNGOMA,Operating
Get Well Clinic,22748,Dispensaries and clinic-out patient only,Private,,,KISUMU,Operating
OTIENDE OUTPATIENT CLINIC,22747,Dispensaries and clinic-out patient only,Private,,,HOMA BAY,Operating
KOTIENDE OUPATIENT CLINIC,22744,Basic primary health care facility,Private,,,HOMA BAY,Operating
Afya Bora Clinic(Busia),22740,Dispensaries and clinic-out patient only,Private,,,BUSIA,Operating
TOGONYE DISPENSARY,22704,Dispensaries and clinic-out patient only,Public,,,KIRINYAGA,Operating
Wananchi Clinic and Optician,22702,Basic primary health care facility,Private,,,EMBU,Operating
MAMAS NURSING HOME,22695,Comprehensive primary health care facility,Public,,,HOMA BAY,Operating
MAISHA CLINIC NDHIWA,22694,Basic primary health care facility,Public,,,HOMA BAY,Operating
KIAGUTHU DISPENSARY,22693,Basic primary health care facility,Public,,,NYERI,Operating
Cieni dispensary,22692,Dispensaries and clinic-out patient only,Public,,,NYERI,Operating
Palis Medical Clinic,22691,Basic primary health care facility,Private,,,KIRINYAGA,Operating
Kianjogu Dispensary,22690,Dispensaries and clinic-out patient only,Public,,,NYERI,Operating
Gathumbi Dispensary,22689,Dispensaries and clinic-out patient only,Public,,,NYERI,Operating
St. Akidiva Memorial,22688,Comprehensive primary health care facility,Faith-Based,,,NAROK,Operating
Faith CFW Clinic,22684,Dispensaries and clinic-out patient only,Public,,,EMBU,Operating
Patience CFW Clinic,22683,Dispensaries and clinic-out patient only,Public,,,EMBU,Operating
Tumaini CFW Clinic,22681,Dispensaries and clinic-out patient only,Public,,,EMBU,Operating
Africare Limited Eastleigh,22680,Basic primary health care facility,Private,,,NAIROBI,Operating
Mtwapa drop in and resource centre,22679,VCT,Public,,,KILIFI,Operating
Masii Medical Centre,22678,Basic primary health care facility,Private,,,MACHAKOS,Operating
Mwangea community Dispensary,22677,Dispensaries and clinic-out patient only,Public,,,KWALE,Operating
Unicure Medical Centre,22675,Basic primary health care facility,Private,,,KIRINYAGA,Operating
Endoscopy and Diagnostic Center Kerugoya,22674,Basic primary health care facility,Private,,,KIRINYAGA,Operating
Professor Wasuna Clinic,22673,Basic primary health care facility,Private,,,NAIROBI,Operating
Githima Disp,22672,Dispensaries and clinic-out patient only,Public,,,NYERI,Operating
machesa dispensary,22667,Dispensaries and clinic-out patient only,Public Institution,,,WAJIR,Operating
Kapkitony,22664,Basic primary health care facility,Public,,,BARINGO,Operating
Lokorkor Dispensary,22663,Basic primary health care facility,Public,,,TURKANA,Operating
Lobulono Dispensary,22661,Basic primary health care facility,Public Institution,,,TURKANA,Operating
Fountain Healthcare Ltd Bungoma,22652,Comprehensive primary health care facility,Private,,,BUNGOMA,Operating
CENTRAL MEDICAL CLINIC,22651,Dispensaries and clinic-out patient only,Private,,,KISII,Operating
Sirende medical clinic,22649,Dispensaries and clinic-out patient only,Private,,,TRANS NZOIA,Operating
Primecare medical centre,22648,Dispensaries and clinic-out patient only,Private,,,TRANS NZOIA,Operating
Bliss CVS Healthcare Limited Kapsabet,22643,Dispensaries and clinic-out patient only,Private,,,NANDI,Operating
Marysyl Medical Clinic,22642,Dispensaries and clinic-out patient only,Private,,,KAKAMEGA,Operating
