"facility_code","service_category","service_group","service_detail"
"953200-3","clinical_services","Clinical Services","Ante Natal Care"
"953200-3","clinical_services","Clinical Services","Child Welfare Clinic"
"953200-3","clinical_services","Clinical Services","Dental"
"953200-3","clinical_services","Clinical Services","Domiciliary"
"953200-3","clinical_services","Clinical Services","Dressings And Injection"
"953200-3","clinical_services","Clinical Services","HIV Testing and Counselling"
"953200-3","clinical_services","Clinical Services","Inpatient Care Services"
"953200-3","clinical_services","Clinical Services","Laboratory"
"953200-3","clinical_services","Clinical Services","Outpatient Department"
"953200-3","clinical_services","Clinical Services","Pediatrics"
"953200-3","clinical_services","Clinical Services","Pharmacy"
"953200-3","clinical_services","Clinical Services","Post Natal Care"
"953200-3","clinical_services","Clinical Services","Primary Health Care"
"953200-3","clinical_services","Clinical Services","Sexual Reproductive Health"
"953200-3","clinical_services","Clinical Services","X-Ray"
"758514-4","clinical_services","Clinical Services","General Practice"
"758514-4","clinical_services","Clinical Services","Sports And Occupational Medicine"
"758514-4","clinical_services","Clinical Services","Dental"
"758514-4","staff","Staff","Dental Therapist (qty: 1)"
"758514-4","staff","Staff","Physicians (qty: 1)"
"974794-0","clinical_services","Clinical Services","Radiography"
"974794-0","clinical_services","Clinical Services","Ultrasound Scan"
"974794-0","clinical_services","Clinical Services","X-Ray"
"974794-0","infrastructure","Infrastructure","Electricity"
"974794-0","infrastructure","Infrastructure","Toilets"
"974794-0","infrastructure","Infrastructure","Running Water"
"974794-0","infrastructure","Infrastructure","Internet"
"974794-0","infrastructure","Infrastructure","Backup generator (qty: 1)"
"509384-4","clinical_services","Clinical Services","Ear Nose Throat"
"509384-4","infrastructure","Infrastructure","Internet"
"509384-4","infrastructure","Infrastructure","Public Wi-fi"
"509384-4","infrastructure","Infrastructure","Cafeteria"
"509384-4","staff","Staff","ENT Surgeon (qty: 3)"
"863148-3","clinical_services","Clinical Services","Cervical Cancer Screening"
"863148-3","clinical_services","Clinical Services","Dispensary"
"863148-3","clinical_services","Clinical Services","HIV Testing and Counselling"
"863148-3","clinical_services","Clinical Services","Outpatient Department"
"863148-3","clinical_services","Clinical Services","Sexual Reproductive Health"
"863148-3","infrastructure","Infrastructure","Electricity"
"863148-3","infrastructure","Infrastructure","Toilets"
"863148-3","infrastructure","Infrastructure","Running Water"
"863148-3","infrastructure","Infrastructure","Internet"
"863148-3","infrastructure","Infrastructure","Pharmacy"
"863148-3","staff","Staff","Doctors (qty: 2)"
"481025-5","clinical_services","Clinical Services","Ambulance Service"
"481025-5","clinical_services","Clinical Services","Ante Natal Care"
"481025-5","clinical_services","Clinical Services","Anti-Retroviral Therapy"
"481025-5","clinical_services","Clinical Services","Blood Pressure Monitoring"
"481025-5","clinical_services","Clinical Services","Cancer Screening"
"481025-5","clinical_services","Clinical Services","Cervical Cancer Screening"
"481025-5","clinical_services","Clinical Services","Child Welfare Clinic"
"481025-5","clinical_services","Clinical Services","Cholesterol and Diabetes Screening"
"481025-5","clinical_services","Clinical Services","Community Home Based Care (CHBC)"
"481025-5","clinical_services","Clinical Services","Condom Distribution"
"481025-5","clinical_services","Clinical Services","Dispensary"
"481025-5","clinical_services","Clinical Services","Dressings And Injection"
"481025-5","clinical_services","Clinical Services","General Consultation"
"481025-5","clinical_services","Clinical Services","General Counselling"
"481025-5","clinical_services","Clinical Services","HIV Testing and Counselling"
"481025-5","clinical_services","Clinical Services","Home Visits"
"481025-5","clinical_services","Clinical Services","Immunization"
"481025-5","clinical_services","Clinical Services","Infectious Disease Control Centre"
"481025-5","clinical_services","Clinical Services","Inpatient Care Services"
"481025-5","clinical_services","Clinical Services","Mobile Outreach"
"481025-5","clinical_services","Clinical Services","Non Communicable Diseases Clinic"
"481025-5","clinical_services","Clinical Services","Outpatient Department"
"481025-5","clinical_services","Clinical Services","Pharmacy"
"481025-5","clinical_services","Clinical Services","Phlebotomy"
"481025-5","clinical_services","Clinical Services","Post Natal Care"
"481025-5","clinical_services","Clinical Services","Routine HIV Testing"
"481025-5","clinical_services","Clinical Services","School Health"
"481025-5","clinical_services","Clinical Services","See And Treat"
"481025-5","clinical_services","Clinical Services","Sexual Reproductive Health"
"481025-5","clinical_services","Clinical Services","Tuberculosis"
"481025-5","infrastructure","Infrastructure","Electricity"
"481025-5","infrastructure","Infrastructure","Toilets"
"481025-5","infrastructure","Infrastructure","Running Water"
"481025-5","infrastructure","Infrastructure","Pharmacy"
"481025-5","infrastructure","Infrastructure","Stoves (qty: 1)"
"481025-5","staff","Staff","Nursing Officer 1 (qty: 1)"
"481025-5","staff","Staff","PRN (qty: 3)"
"481025-5","staff","Staff","Health  Assistant (qty: 2)"
"481025-5","staff","Staff","Midwifery (qty: 1)"
"481025-5","staff","Staff","Psychiatic nurse (qty: 1)"
"481025-5","staff","Staff","CRN (qty: 1)"
"435638-2","clinical_services","Clinical Services","Eye Clinic"
"435638-2","clinical_services","Clinical Services","Mobile Outreach"
"435638-2","clinical_services","Clinical Services","Optometry"
"435638-2","clinical_services","Clinical Services","Refraction"
"435638-2","clinical_services","Clinical Services","Tonometry"
"435638-2","infrastructure","Infrastructure","Electricity"
"435638-2","infrastructure","Infrastructure","Toilets"
"435638-2","infrastructure","Infrastructure","Running Water"
"435638-2","infrastructure","Infrastructure","Internet"
"435638-2","infrastructure","Infrastructure","Laboratory"
"435638-2","staff","Staff","Optometrist (qty: 1)"
"304543-2","clinical_services","Clinical Services","Accident And Emergency"
"304543-2","clinical_services","Clinical Services","Ante Natal Care"
"304543-2","clinical_services","Clinical Services","Anti-Retroviral Therapy"
"304543-2","clinical_services","Clinical Services","Blood Pressure Monitoring"
"304543-2","clinical_services","Clinical Services","Cancer Screening"
"304543-2","clinical_services","Clinical Services","Cervical Cancer Clinic"
"304543-2","clinical_services","Clinical Services","Cervical Cancer Screening"
"304543-2","clinical_services","Clinical Services","Child Welfare Clinic"
"304543-2","clinical_services","Clinical Services","Cholesterol and Diabetes Screening"
