facility_name,facility_code,Old Facility Code,admin1,Sub-District,Constituency,facility_type,latitude,longitude,Telephone,Urban or Rural,Always Open,status,Publication Status,Catchment Area,Updated,ownership,country,data_source,coordinate_valid,open_date,open_year,uid,admin2,zone,coordinate_source,ownership_detail,catchment_population,urban_rural_strata,inpatient,outpatient,maternity,emergency,laboratory,malaria_services,extraction_date,data_quality_flag
MEDLASS IMAGING,830217-6,460,Greater Gaborone,NA,NA,Individual practitioner,-24.670696,25.911535,+267 76335989,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Moko Clinic,953200-3,temp_id_9,Mahalapye,Mahalapye,MAHALAPYE EAST,Clinic,-23.09,26.09,+267 77000055,Semi-urban,FALSE,OPERATIONAL,PUBLISHED,NA,2023-08-25T14:28:29Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dr F Le Roux Medical Services,758514-4,20081,NA,NA,NA,Individual practitioner,-21.331968,24.3591552,+267 72339955,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
THE X-RAY HUB,974794-0,NA,Lobatse,Lobatse,LOBATSE,Poly Clinic,-25.2136,25.675759,5330100,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2023-06-22T06:12:16Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Ent Care (Pty)Ltd,509384-4,20045,Kweneng East,NA,NA,Individual practitioner,-24.34522,25.502103,+267 3694124,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
St Joseph's Medical Center,863148-3,NA,Greater Francistown,Greater Francistown,TONOTA,Individual practitioner,-21.4216508,27.4491584,2484431,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2023-05-08T07:49:50Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Karakubis Clinic,481025-5,28-3-04,Charleshill,Charleshill,GHANZI SOUTH,Clinic,-22.089597565728592,20.61586926315118,6593017,Rural,FALSE,OPERATIONAL,PUBLISHED,881,2024-08-28T12:00:07Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Optical Services Pty Ltd,435638-2,NA,Greater Francistown,Greater Francistown,FRANCISTOWN EAST,Individual practitioner,-21.1676,27.51103,2413648,Urban,FALSE,OPERATIONAL,PUBLISHED,North East,2025-06-02T10:31:22Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
24 HR EMERGENCY MEDICAL CARE,304543-2,2,Chobe,Chobe,CHOBE,Poly Clinic,-17.806833,25.240925,+267 6251548,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2023-05-22T12:19:50Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dr Kadiyala Surgery,556191-5,NA,South East,South East,GABORONE SOUTH,Day care center,-24.6311,25.9173,3952221,Urban,FALSE,OPERATIONAL,PUBLISHED,10000,2023-03-29T14:15:16Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
POHA BDF Health Post,832969-0,10-4-13,Chobe,Chobe,CHOBE,Health Post,-19.532249,23.657797,+267 3664811,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2023-05-15T09:29:07Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Nkaikela Youth Group,192292-1,NA,South East,South East,RAMOTSWA,Group practice,-24.865005,25.864785,+267 77132470,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2023-06-27T13:01:19Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
TOCHI MEDICAL CENTRE,119333-3,NA,Lobatse,Lobatse,LOBATSE,Individual practitioner,-25.22597,25.67053,5301174,Urban,FALSE,OPERATIONAL,PUBLISHED,Greater Lobatse,2025-05-16T10:24:56Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Optico centre Tutume,856575-6,NA,Tutume,Tutume,NKANGE,Group practice,-20.489323,27.041246,72416358,Rural,FALSE,OPERATIONAL,PUBLISHED,7000,2023-05-12T06:35:31Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Bonesa Radiology Centre,116257-7,NA,Kweneng East,Kweneng East,MOLEPOLOLE SOUTH,Group practice,-24.46423,25.524344,5910724,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2023-05-05T10:19:16Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Elikya Medical Centre,523937-1,NA,Ghanzi,Ghanzi,GHANZI NORTH,Individual practitioner,-21.69235,21.64773,6596497,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2023-03-28T16:18:07Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dinovi Private Medical Clinic,936043-9,NA,Kgalagadi North,Kgalagadi North,KGALAGADI NORTH,Individual practitioner,-23.676294,22.775468,73755804,Rural,FALSE,OPERATIONAL,PUBLISHED,6764,2023-05-15T08:13:42Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Phitshane Potlokwe Health Post,237583-0,23-4-24,Goodhope,Goodhope,GOODHOPE-MABULE,Health Post,-25.505872,25.579271,+267 5407673,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2024-08-28T13:44:50Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Jwaneng Mine Hospital,753290-6,NA,Jwaneng,Jwaneng,JWANENG-MABUTSANE,Private Hospital,-24.5956902,24.7311362,5884706,Urban,TRUE,OPERATIONAL,PUBLISHED,19000,2022-09-08T09:57:28Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Highway Medical Centre,559369-4,NA,Greater Francistown,Greater Francistown,TONOTA,Day care center,-21.422303,27.4407048,75661428/2484545,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2023-05-25T09:21:18Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Francistown Academic Hospital,528988-9,NA,Greater Francistown,Greater Francistown,TATI EAST,Private Hospital,-21.2346019,27.49348,+2672409076,Urban,TRUE,OPERATIONAL,PUBLISHED,Northern Botswana,2025-05-26T11:21:43Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
New Xanagas/Tsawe Health Post,989336-3,28-4-05,Charleshill,Charleshill,GHANZI SOUTH,Health Post,-22.43133295615408,20.65414908753291,6511700,Rural,FALSE,OPERATIONAL,PUBLISHED,777,2024-08-28T12:15:01Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Toro Clinic,807112-8,NA,Palapye,Palapye,PALAPYE,Individual practitioner,-22.560513,27.081601,492 4763,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2023-07-04T09:34:04Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Bophelong Medical Clinic,402141-6,20408,Greater Gaborone,NA,NA,Individual practitioner,-21.1672276,26.419389,+267 71374828,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Riverside Hospital,113048-3,NA,Greater Francistown,Greater Francistown,FRANCISTOWN EAST,Private Hospital,-21.1629605097981,27.513075181445217,+267 2428305,Urban,TRUE,OPERATIONAL,PUBLISHED,NA,2022-09-01T14:30:47Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Xanagas Health Post,224970-4,28-4-04,Charleshill,Charleshill,GHANZI SOUTH,Health Post,-22.193453757949992,20.316990281028293,6593818,Rural,FALSE,OPERATIONAL,PUBLISHED,637,2024-08-28T12:24:12Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
MEDICALLIC ENTERPRISES T/A DR RJ BREDENKAMP,713688-0,NA,Ghanzi,Ghanzi,GHANZI NORTH,Individual practitioner,-21.69582,21.65038,6596727,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2023-04-03T05:45:36Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Mankgodi Clinic,894684-0,05-03-10,Kweneng East,Kweneng East,THAMAGA-KUMAKWANE,Clinic,-24.720952,25.638084,5930448,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2023-04-19T07:00:15Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
BIDII MEDICAL SERVICES,540264-1,65,Greater Gaborone,NA,NA,Individual practitioner,-21.184512,27.5316736,+267 71866769,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
