facility_name,facility_code,facility_type,latitude,longitude,admin1,status,ownership,country,data_source,coordinate_valid,open_date,open_year,uid,admin2,zone,coordinate_source,ownership_detail,catchment_population,urban_rural_strata,inpatient,outpatient,maternity,emergency,laboratory,malaria_services,extraction_date,data_quality_flag
Nyakeore Health Centre,24011,Basic Health Centre,-0.63943,34.98057,Nyamira,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Riongige Health Centre,14053,Basic Health Centre,-0.60653,34.95718,Nyamira,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Motontera Health Centre,13826,Basic Health Centre,-0.497,34.87824,Nyamira,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Nyansangio Health Centre,13935,Basic Health Centre,-0.49882,34.88063,Nyamira,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Gidcare Medical Clinic,NA,Medical Clinic,-0.538699,35.253732,Bomet,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kakiteitei Dispensary,NA,Dispensary,1.844414,36.167881,Turkana,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
The Grace Favoured Clinic,NA,Medical Clinic,-1.84514,38.20746,Kitui,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Zamir medical centre LTD,NA,Medical Clinic,0.95818,38.53321,Isiolo,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Beacon of Kindness Community Medical Centre,NA,Medical Clinic,-1.040367,34.591995,Migori,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Savannah Diagnostic Centre Limited,NA,Medical Center,-1.26725,36.84507,Nairobi,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
St Marcus Hospital,NA,Medical Center,-1.05764,37.18698,Kiambu,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
AAR Health Care (Kenya) Limited Eastleigh,NA,Medical Center,-1.27325,36.84507,Nairobi,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kilimani Childrens Clinic-Dennis pritt Branch,NA,Medical Clinic,-1.312052,36.837763,Nairobi,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
mary immaculate health care centre,NA,Basic Health Centre,-0.2709,36.148933,Nakuru,Operating,Other,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Hopekin Medical Services,34656,Medical Clinic,-1.395457,36.937798,Machakos,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Universal Dental Care,NA,Dental Clinic,-1.319444,36.896111,Nairobi,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Portbell Medical Centre,NA,Medical Center,-0.49525019,37.3513962,Kirinyaga,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Mlango Tatu Dispensary,34657,Dispensary,-0.01168,35.60793,Baringo,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Ahaal Health Centre,34650,Comprehensive Health Centre,1.7675446,40.0139132,Wajir,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
IRAJ NURSING HOME,34653,Nursing and Maternity Home,3.678298,39.922807,Mandera,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
AGC Naroomoru Dispensary,34654,Dispensary,-1.6348800000000001,35.559743,Narok,Operating,Faith-Based / NGO,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Promed Dialysis Centre Ltd,34557,Primary care hospitals,-0.516069,37.172234,Kirinyaga,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Penda Medical Centre-Utawala Mihang'o Nairobi,NA,Medical Center,-1.272663,36.949444,Nairobi,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Prudent Cottage Hospital(Matungulu),NA,Primary care hospitals,-1.282427,37.1649,Machakos,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kunene Health Centre,12391,Basic Health Centre,0.12382,37.72872,Meru,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-000011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
