facility_code,facility_name,zone,admin1,admin2,council,ward,village,facility_type,ownership_detail,status,latitude,longitude,year,strata,catchment_population,ownership,country,data_source,coordinate_valid,open_date,open_year,uid,coordinate_source,urban_rural_strata,inpatient,outpatient,maternity,emergency,laboratory,malaria_services,extraction_date,data_quality_flag
100675-8,CANOSSA,Northern Zone,Arusha,Arusha,Arusha CC,Engutoto,Block J,Dispensary,Faith Based Organization (FBO),Operating,-3.45802,36.71262,1970,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,NA,NA,TZA-000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
124407-8,ARUSHA LIFECARE MEDICAL  CENTRE,Northern Zone,Arusha,Arusha,Arusha CC,Unga Ltd,Makaburi ya Baniani,Health Laboratory,For Profit,Operating,-3.37721,36.67611,2025,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2025-04-12,2025,TZA-000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
107809-6,TERRAT,Northern Zone,Arusha,Arusha,Arusha CC,Terrat,Kati,Dispensary,LGA,Operating,-3.454225,36.652426,2021,Very low,508709,Public,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2021-08-10,2021,TZA-000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
100909-1,COGI DARAJA II,Northern Zone,Arusha,Arusha,Arusha CC,Daraja 2,Ndarvoi,Dispensary,Faith Based Organization (FBO),Operating,-3.387378,36.690832,1997,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,1997-09-06,1997,TZA-000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
109516-5,NADOSOITO,Northern Zone,Arusha,Arusha,Arusha CC,Terrat,Kati,Dispensary,LGA,Operating,-3.493953,36.681011,2013,Very low,508709,Public,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2013-07-06,2013,TZA-000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
111552-6,AFYA MAX,Northern Zone,Arusha,Arusha,Arusha CC,Ngarenaro,Kambi ya Fisi,Clinic,Company/Business Name,Operating,-3.365947,36.675616,2016,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2016-10-10,2016,TZA-000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
102269-8,KAM Med,Northern Zone,Arusha,Arusha,Arusha CC,Themi,Old Police line,Health Center,For Profit,Operating,-3.378285,36.696048,1970,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,NA,NA,TZA-000007,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
111489-1,KANAAN LAND,Northern Zone,Arusha,Arusha,Arusha CC,Kimandolu,Kitiangari,Dispensary,For Profit,Operating,-3.405768,36.644791,2016,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2016-11-03,2016,TZA-000008,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
111784-5,KIMAHAMA,Northern Zone,Arusha,Arusha,Arusha CC,Levolosi,Levolos,Clinic,For Profit,Operating,-3.367506,36.68474,1970,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,NA,NA,TZA-000009,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
112007-0,SHAMSI,Northern Zone,Arusha,Arusha,Arusha CC,Elerai,Olmatejo A,Health Laboratory,For Profit,Operating,-3.37261,36.66517,2018,Very low,508709,Private,Tanzania,MoH Tanzania Health Facility Registry (HFR) 2026,TRUE,2018-01-18,2018,TZA-000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
