identifier,name,facility_code,facility_name,historical_id,admin1,admin2,subcounty,parish,village,facility_type,ownership_detail,status,reporting,licensed,address,contact_personemail,contact_personmobile,contact_personname,contact_persontitle,longitude,latitude,closing_date,bed_capacity,services,createdAt,updatedAt,ownership,country,data_source,coordinate_valid,open_date,open_year,uid,zone,coordinate_source,catchment_population,urban_rural_strata,inpatient,outpatient,maternity,emergency,laboratory,malaria_services,extraction_date,data_quality_flag
8008022870916,Alop Health Centre II,pUeR6j03GhJ,Alop HC II,pUeR6j03GhJ,Acholi,Agago District,Adilang Subcounty,NA,NA,HC II,Local Government,Functional,TRUE,FALSE,NA,NA,NA,NA,NA,33.4502,2.668848,NA,NA,NA,2/2/2026,2/2/2026,Other,Uganda,Uganda Ministry of Health Master Facility List (MFL),TRUE,NA,NA,UGA-000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
8008023776549,Adilang Health Centre III,FvewOonC8lS,Adilang HC III,FvewOonC8lS,Acholi,Agago District,Adilang Town Council,NA,NA,HC III,Local Government,Functional,TRUE,FALSE,NA,NA,NA,NA,NA,33.475305,2.741335,NA,NA,NA,2/2/2026,2/2/2026,Other,Uganda,Uganda Ministry of Health Master Facility List (MFL),TRUE,NA,NA,UGA-000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
8008024416503,David Fagerlee's Medical Centre,G51dLKvQTxh,David Fagerlee's  Medical Centre,G51dLKvQTxh,Acholi,Agago District,Adilang Town Council,NA,NA,HC II,UCMB,Functional,TRUE,FALSE,NA,NA,NA,NA,NA,33.477844,2.743743,NA,NA,NA,2/2/2026,2/2/2026,Other,Uganda,Uganda Ministry of Health Master Facility List (MFL),TRUE,NA,NA,UGA-000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
8008027243189,Lukole Health Centre III,RHk4V3ZlFbx,Lukole HC III,RHk4V3ZlFbx,Acholi,Agago District,Agago Town Council,NA,NA,HC III,Local Government,Functional,TRUE,FALSE,NA,NA,NA,NA,NA,33.338962,2.835436,NA,NA,NA,2/2/2026,2/2/2026,Other,Uganda,Uganda Ministry of Health Master Facility List (MFL),TRUE,NA,NA,UGA-000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
8008022564548,Acuru Health Centre II,wLkwoyLOOZe,Acuru HC II,wLkwoyLOOZe,Acholi,Agago District,Agengo Subcounty,NA,NA,HC II,Local Government,Functional,TRUE,FALSE,NA,NA,NA,NA,NA,33.192796,2.925697,NA,NA,NA,2/2/2026,2/2/2026,Other,Uganda,Uganda Ministry of Health Master Facility List (MFL),TRUE,NA,NA,UGA-000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
8008028585636,Obolokome Health Centre II,cPeDqm6vYHn,Obolokome (Lira) HC II,cPeDqm6vYHn,Acholi,Agago District,Agengo Subcounty,NA,NA,HC II,Local Government,Functional,TRUE,FALSE,NA,NA,NA,NA,NA,33.193728,2.820513,NA,NA,NA,2/2/2026,2/2/2026,Other,Uganda,Uganda Ministry of Health Master Facility List (MFL),TRUE,NA,NA,UGA-000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
8008026815472,Otumpili Health Centre II,QaoM6583QZW,Otumpili HC II,QaoM6583QZW,Acholi,Agago District,Ajali Subcounty,NA,NA,HC II,Local Government,Functional,TRUE,FALSE,NA,NA,NA,NA,NA,33.388625,2.825156,NA,NA,NA,2/2/2026,2/2/2026,Other,Uganda,Uganda Ministry of Health Master Facility List (MFL),TRUE,NA,NA,UGA-000007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
8008025204429,Acholpii Health Centre III,aKoVWgIufTx,Acholpii HC III,aKoVWgIufTx,Acholi,Agago District,Arum Subcounty,NA,NA,HC III,Local Government,Functional,TRUE,FALSE,NA,NA,NA,NA,NA,33.050428,2.731935,NA,NA,NA,2/2/2026,2/2/2026,Other,Uganda,Uganda Ministry of Health Master Facility List (MFL),TRUE,NA,NA,UGA-000008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
8008028233292,Geregere Health Centre II,WgXtPbUAyJD,Geregere HC II,WgXtPbUAyJD,Acholi,Agago District,Geregere Subcounty,NA,NA,HC II,Local Government,Functional,TRUE,FALSE,NA,NA,NA,NA,NA,33.234658,2.769527,NA,NA,NA,2/2/2026,2/2/2026,Other,Uganda,Uganda Ministry of Health Master Facility List (MFL),TRUE,NA,NA,UGA-000009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
8008027551851,Dr. Ambrosoli Memorial Hospital Kalongo,y8q1syPdfdK,Kalongo Ambrosoli Memorial Hospital,y8q1syPdfdK,Acholi,Agago District,Kalongo Town Council,NA,NA,General Hospital,UCMB,Functional,TRUE,FALSE,NA,NA,NA,NA,NA,33.37204,3.04341,NA,NA,NA,2/2/2026,2/2/2026,Other,Uganda,Uganda Ministry of Health Master Facility List (MFL),TRUE,NA,NA,UGA-000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
