facility_code,DHIS2 UID,Hims code,facility_name,admin1,admin2,Constituency,Ward,zone,Location,facility_type,ownership_detail,status,Mobility status,Accesibility,catchment_population,Catchment population cso,Number of households,latitude,longitude,ownership,country,data_source,coordinate_valid,open_date,open_year,uid,coordinate_source,urban_rural_strata,inpatient,outpatient,maternity,emergency,laboratory,malaria_services,extraction_date,data_quality_flag
1835,fykM10MbEBA,90010019,Namatindi Rural Health Centre,Western,Kalabo,Kalabo Central,Ndoka,NA,Rural,Health Centre,Public,Functional,Fixed,Open,6782,6377,NA,-14.44888262,22.76034052,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
1815,gEweSN8WhZF,90150001,Kaluwe Rural Health Centre,Western,Sikongo,Sikongo,Nengu,NA,Rural,Health Centre,Public,Functional,Fixed,Open,3710,2930,NA,-14.501655,22.134218,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2564,giU2oIx29d9,30040029,Mankhaka  Health Post,Eastern,Lundazi,Lundazi,Lunevwa,NA,Rural,Health Post,Public,Functional,Fixed,Open,NA,8153,NA,-12.28888333,33.17441667,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
4084,IegtibyJG2A,90090011,Chisu Health Post,Western,Mwandi,Mwandi,Chisu,NA,Rural,Health Post,Public,Functional,Fixed,Open,1409,995,NA,-17.264517,24.383903,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
4157,oHlcVn3rdb1,40020001,Chienge District Hospital,Luapula,Chienge,Chienge,Chienge,NA,Rural,1st Level Hospital,Public,Functional,Fixed,Open,NA,NA,NA,-8.65494,29.16818,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
1337,rm5rfKGTRRX,100400018,Nanzhila Rural Health Centre,Southern,Itezhi-Tezhi,Itezhi-Tezhi,Luchena,NA,Rural,Health Centre,Public,Functional,Fixed,Open,11505,4736,1698,-16.095959,26.08017,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
3467,SYXuVDTkCWp,90070010,Lealui Rural Health Centre,Western,Mongu,Mongu Central,Lealui Lower,NA,Rural,Health Centre,Public,Functional,Fixed,Open,7389,6791,1132,-15.23853,23.024347,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000007,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
3662,tour3dWaWFA,50040030,Zubeda Clinic,Lusaka,Kafue,Kafue,Kafue,NA,Urban,Diagnostic centre,Private,Functional,Fixed,Open,NA,NA,NA,-15.7726,28.18208,Private,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000008,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
1830,uUiYjRMs1RE,10050026,Katondo Urban Health Centre,Central,Kabwe,Kabwe Central,Luansase,NA,Urban,Health Centre,Public,Functional,Fixed,Open,NA,18946,NA,-14.45656559,28.471535,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000009,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2503,VjtgxrdsR2z,70040039,Mutanda Rural Health Centre,North-Western,Kalumbila,Solwezi West,Mwajimambwe,NA,Rural,Health Centre,Public,Functional,Fixed,Open,6911,4839,1721,-12.422681,26.220345,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
3283,Y5biOpmM5L9,80030017,Hamatuba Health Post,Southern,Gwembe,Gwembe,Kkota Kkota,NA,Rural,Health Post,Public,Functional,Fixed,Open,1724,1628,378,-16.77294134,28.06408955,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000011,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
3237,yMIYLAmfBhX,90120007,Lumbe Nanyenzu Health Post,Western,Senanga,Senanga,Mata,NA,Rural,Health Post,Public,Functional,Fixed,Open,2045,1331,NA,-16.105277,23.298611,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000012,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
1901,NA,30030016,Kawaza Rural Health Post,Eastern,Katete,Milanzi,Milanzi,NA,Rural,Health Post,Public,Functional,Fixed,Open,NA,3524,NA,-14.256272,32.164201,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000013,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2817,NA,40090007,Katuta Rural Health Centre,Luapula,Mwense,Mambilima,Mpasa,NA,Rural,Health Centre,Public,Functional,Fixed,Open,5258,4813,1249,-10.7849,28.5906,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),FALSE,NA,NA,ZMB-000014,NA,NA,NA,NA,NA,NA,NA,NA,NA,low
3240,NA,55060004,Choma Health Post,Muchinga,Mafinga,Mafinga,Kakoma,NA,Rural,Health Post,Public,Functional,Fixed,Open,4756,3068,511,-10.3632,33.40582,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000015,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
4020,NA,70110015,Mpidi Health Centre,North-Western,Zambezi,Zambezi East,Mpidi Kakong'a,NA,Rural,Health Centre,Public,Functional,Fixed,Open,5020,2134,1780,-14.159019734304,23.316753999023,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000016,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
